Timestamp,max_intensity_index,len_reflectance_values,cmd_vel.angular.z
1702462228.130797,321,481,0.3347193347193348
1702462228.1560264,322,481,0.33887733887733895
1702462228.1809044,324,481,0.34719334719334716
1702462228.2058234,324,481,0.34719334719334716
1702462228.2306724,325,481,0.3513513513513513
1702462228.2556906,323,481,0.34303534303534305
1702462228.2804677,324,481,0.34719334719334716
1702462228.3055253,322,481,0.33887733887733895
1702462228.330504,325,481,0.3513513513513513
1702462228.355378,326,481,0.3555093555093557
1702462228.3802216,326,481,0.3555093555093557
1702462228.405246,326,481,0.3555093555093557
1702462228.430104,325,481,0.3513513513513513
1702462228.4552102,321,481,0.3347193347193348
1702462228.499507,321,481,0.3347193347193348
1702462228.5476315,311,481,0.293139293139293
1702462228.5476737,313,481,0.3014553014553015
1702462228.5916173,321,481,0.3347193347193348
1702462228.5916631,312,481,0.2972972972972974
1702462228.6355515,321,481,0.3347193347193348
1702462228.6356232,313,481,0.3014553014553015
1702462228.6794586,324,481,0.34719334719334716
1702462228.6796553,311,481,0.293139293139293
1702462228.7234468,325,481,0.3513513513513513
1702462228.7715669,318,481,0.32224532224532243
1702462228.7716222,325,481,0.3513513513513513
1702462228.8155634,322,481,0.33887733887733895
1702462228.8156297,319,481,0.32640332640332625
1702462228.8595526,325,481,0.3513513513513513
1702462228.8595934,313,481,0.3014553014553015
1702462228.9076087,324,481,0.34719334719334716
1702462228.9076722,320,481,0.3305613305613307
1702462228.9515715,322,481,0.33887733887733895
1702462228.9539993,318,481,0.32224532224532243
1702462228.9957728,325,481,0.3513513513513513
1702462229.039518,324,481,0.34719334719334716
1702462229.0395763,312,481,0.2972972972972974
1702462229.0877202,321,481,0.3347193347193348
1702462229.0878296,320,481,0.3305613305613307
1702462229.1318994,323,481,0.34303534303534305
1702462229.1320662,324,481,0.34719334719334716
1702462229.180043,324,481,0.34719334719334716
1702462229.1802087,320,481,0.3305613305613307
1702462229.2276025,324,481,0.34719334719334716
1702462229.2283018,323,481,0.34303534303534305
1702462229.2755787,325,481,0.3513513513513513
1702462229.3196254,325,481,0.3513513513513513
1702462229.3197184,324,481,0.34719334719334716
1702462229.3679569,324,481,0.34719334719334716
1702462229.3681343,323,481,0.34303534303534305
1702462229.4157834,322,481,0.33887733887733895
1702462229.415921,323,481,0.34303534303534305
1702462229.463811,323,481,0.34303534303534305
1702462229.4639409,324,481,0.34719334719334716
1702462229.507808,325,481,0.3513513513513513
1702462229.507936,324,481,0.34719334719334716
1702462229.5557165,323,481,0.34303534303534305
1702462229.5558436,323,481,0.34303534303534305
1702462229.5996456,323,481,0.34303534303534305
1702462229.602396,322,481,0.33887733887733895
1702462229.6436608,324,481,0.34719334719334716
1702462229.687938,322,481,0.33887733887733895
1702462229.6881132,324,481,0.34719334719334716
1702462229.735989,324,481,0.34719334719334716
1702462229.7361705,310,481,0.28898128898128916
1702462229.7799726,323,481,0.34303534303534305
1702462229.7801511,323,481,0.34303534303534305
1702462229.8237445,323,481,0.34303534303534305
1702462229.8270261,325,481,0.3513513513513513
1702462229.8717108,323,481,0.34303534303534305
1702462229.919821,324,481,0.34719334719334716
1702462229.9199495,324,481,0.34719334719334716
1702462229.9637253,323,481,0.34303534303534305
1702462229.9638524,319,481,0.32640332640332625
1702462230.008079,324,481,0.34719334719334716
1702462230.0082428,324,481,0.34719334719334716
1702462230.0518034,309,481,0.28482328482328473
1702462230.0518942,323,481,0.34303534303534305
1702462230.0959725,319,481,0.32640332640332625
1702462230.1016397,320,481,0.3305613305613307
1702462230.1437945,322,481,0.33887733887733895
1702462230.1879668,323,481,0.34303534303534305
1702462230.1881642,323,481,0.34303534303534305
1702462230.231763,323,481,0.34303534303534305
1702462230.2319057,322,481,0.33887733887733895
1702462230.2798831,322,481,0.33887733887733895
1702462230.28002,311,481,0.293139293139293
1702462230.323765,322,481,0.33887733887733895
1702462230.3261132,320,481,0.3305613305613307
1702462230.3676686,323,481,0.34303534303534305
1702462230.4115908,311,481,0.293139293139293
1702462230.4116614,311,481,0.293139293139293
1702462230.4559186,311,481,0.293139293139293
1702462230.4560988,318,481,0.32224532224532243
1702462230.4998493,322,481,0.33887733887733895
1702462230.5010273,313,481,0.3014553014553015
1702462230.5436091,321,481,0.3347193347193348
1702462230.5879936,323,481,0.34303534303534305
1702462230.5881717,312,481,0.2972972972972974
1702462230.6317225,315,481,0.3097713097713098
1702462230.6318202,321,481,0.3347193347193348
1702462230.6759467,311,481,0.293139293139293
1702462230.6761231,323,481,0.34303534303534305
1702462230.7198613,321,481,0.3347193347193348
1702462230.7254446,323,481,0.34303534303534305
1702462230.767799,323,481,0.34303534303534305
1702462230.8119843,324,481,0.34719334719334716
1702462230.812159,323,481,0.34303534303534305
1702462230.8598955,324,481,0.34719334719334716
1702462230.8600717,324,481,0.34719334719334716
1702462230.9079375,324,481,0.34719334719334716
1702462230.9081624,322,481,0.33887733887733895
1702462230.9564252,319,481,0.32640332640332625
1702462230.9566607,323,481,0.34303534303534305
1702462231.004103,321,481,0.3347193347193348
1702462231.0043077,312,481,0.2972972972972974
1702462231.0478199,319,481,0.32640332640332625
1702462231.0498066,323,481,0.34303534303534305
1702462231.0921292,322,481,0.33887733887733895
1702462231.1360893,308,481,0.2806652806652806
1702462231.1362383,320,481,0.3305613305613307
1702462231.1839652,320,481,0.3305613305613307
1702462231.1841393,320,481,0.3305613305613307
1702462231.2319577,323,481,0.34303534303534305
1702462231.2321324,321,481,0.3347193347193348
1702462231.2797284,308,481,0.2806652806652806
1702462231.2798638,322,481,0.33887733887733895
1702462231.3197615,309,481,0.28482328482328473
1702462231.323169,322,481,0.33887733887733895
1702462231.363743,322,481,0.33887733887733895
1702462231.4077647,322,481,0.33887733887733895
1702462231.4079278,309,481,0.28482328482328473
1702462231.4518082,322,481,0.33887733887733895
1702462231.4519355,323,481,0.34303534303534305
1702462231.4959464,322,481,0.33887733887733895
1702462231.4977872,310,481,0.28898128898128916
1702462231.5396838,307,481,0.2765072765072765
1702462231.5877285,324,481,0.34719334719334716
1702462231.5878448,322,481,0.33887733887733895
1702462231.6357565,308,481,0.2806652806652806
1702462231.6358733,322,481,0.33887733887733895
1702462231.6843984,322,481,0.33887733887733895
1702462231.684522,307,481,0.2765072765072765
1702462231.7319112,322,481,0.33887733887733895
1702462231.7321336,322,481,0.33887733887733895
1702462231.7804916,318,481,0.32224532224532243
1702462231.7807457,323,481,0.34303534303534305
1702462231.823815,307,481,0.2765072765072765
1702462231.8239298,323,481,0.34303534303534305
1702462231.8723357,317,481,0.31808731808731805
1702462231.8741379,319,481,0.32640332640332625
1702462231.9199228,318,481,0.32224532224532243
1702462231.9680016,322,481,0.33887733887733895
1702462231.968224,322,481,0.33887733887733895
1702462232.0159664,316,481,0.3139293139293139
1702462232.0161521,319,481,0.32640332640332625
1702462232.0596373,319,481,0.32640332640332625
1702462232.0597448,319,481,0.32640332640332625
1702462232.1035903,322,481,0.33887733887733895
1702462232.1036577,322,481,0.33887733887733895
1702462232.1477158,322,481,0.33887733887733895
1702462232.147824,322,481,0.33887733887733895
1702462232.1920068,318,481,0.32224532224532243
1702462232.195785,319,481,0.32640332640332625
1702462232.2397065,319,481,0.32640332640332625
1702462232.2877839,312,481,0.2972972972972974
1702462232.287941,323,481,0.34303534303534305
1702462232.3357258,323,481,0.34303534303534305
1702462232.3358595,322,481,0.33887733887733895
1702462232.379608,318,481,0.32224532224532243
1702462232.3797448,322,481,0.33887733887733895
1702462232.423689,315,481,0.3097713097713098
1702462232.4238062,324,481,0.34719334719334716
1702462232.4675593,322,481,0.33887733887733895
1702462232.4699683,323,481,0.34303534303534305
1702462232.5122857,319,481,0.32640332640332625
1702462232.5558991,323,481,0.34303534303534305
1702462232.5560708,319,481,0.32640332640332625
1702462232.6039515,323,481,0.34303534303534305
1702462232.6041317,319,481,0.32640332640332625
1702462232.6480198,322,481,0.33887733887733895
1702462232.648199,317,481,0.31808731808731805
1702462232.6918805,318,481,0.32224532224532243
1702462232.6948647,317,481,0.31808731808731805
1702462232.7399373,319,481,0.32640332640332625
1702462232.783933,319,481,0.32640332640332625
1702462232.784128,317,481,0.31808731808731805
1702462232.8280509,323,481,0.34303534303534305
1702462232.8283484,322,481,0.33887733887733895
1702462232.8719046,319,481,0.32640332640332625
1702462232.8720603,319,481,0.32640332640332625
1702462232.9157836,323,481,0.34303534303534305
1702462232.9190822,324,481,0.34719334719334716
1702462232.9597423,322,481,0.33887733887733895
1702462233.0038712,309,481,0.28482328482328473
1702462233.0041032,309,481,0.28482328482328473
1702462233.0520234,308,481,0.2806652806652806
1702462233.0522335,323,481,0.34303534303534305
1702462233.099961,323,481,0.34303534303534305
1702462233.1002216,312,481,0.2972972972972974
1702462233.1436236,323,481,0.34303534303534305
1702462233.1437047,324,481,0.34719334719334716
1702462233.1877916,324,481,0.34719334719334716
1702462233.193394,322,481,0.33887733887733895
1702462233.2356584,308,481,0.2806652806652806
1702462233.279941,324,481,0.34719334719334716
1702462233.280225,321,481,0.3347193347193348
1702462233.3237956,323,481,0.34303534303534305
1702462233.323978,324,481,0.34719334719334716
